2025-09-17 18:52:33 | INFO | Logging to file: logs/project_log.log
2025-09-17 18:52:33 | INFO | Log sanitization enabled, personal info removed
2025-09-17 18:52:33 | INFO | Project root: PROJECT_ROOT
2025-09-17 18:52:33 | INFO | Data folder: PROJECT_ROOT/data
2025-09-17 18:52:33 | INFO | Data file: PROJECT_ROOT/data/project_live.json
2025-09-17 18:52:33 | INFO | START consumer.
2025-09-17 18:52:44 | INFO | Logging to file: logs/project_log.log
2025-09-17 18:52:44 | INFO | Log sanitization enabled, personal info removed
2025-09-17 18:52:44 | INFO | START producer...
2025-09-17 18:52:44 | INFO | Kafka producer connected to localhost:9092
2025-09-17 18:52:44 | INFO | {'message': 'I just found JavaScript! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 18:52:44', 'category': 'tech', 'sentiment': 0.63, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 18:52:44 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found JavaScript! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 18:52:44', 'category': 'tech', 'sentiment': 0.63, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 18:52:44 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:52:49 | INFO | {'message': 'I just loved an app! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-17 18:52:49', 'category': 'other', 'sentiment': 0.36, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-17 18:52:49 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved an app! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-17 18:52:49', 'category': 'other', 'sentiment': 0.36, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-17 18:52:49 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:52:54 | INFO | {'message': 'I just found a story! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:52:54', 'category': 'other', 'sentiment': 0.4, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-17 18:52:54 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found a story! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:52:54', 'category': 'other', 'sentiment': 0.4, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-17 18:52:54 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:52:59 | INFO | {'message': 'I just tried a movie! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-17 18:52:59', 'category': 'entertainment', 'sentiment': 0.89, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-17 18:52:59 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just tried a movie! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-17 18:52:59', 'category': 'entertainment', 'sentiment': 0.89, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-17 18:52:59 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:04 | INFO | {'message': 'I just found game! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:04', 'category': 'gaming', 'sentiment': 0.24, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-17 18:53:04 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found game! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:04', 'category': 'gaming', 'sentiment': 0.24, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-17 18:53:04 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:09 | INFO | {'message': 'I just loved travel! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-17 18:53:09', 'category': 'travel', 'sentiment': 0.72, 'keyword_mentioned': 'travel', 'message_length': 34}
2025-09-17 18:53:09 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved travel! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-17 18:53:09', 'category': 'travel', 'sentiment': 0.72, 'keyword_mentioned': 'travel', 'message_length': 34}
2025-09-17 18:53:09 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:14 | INFO | {'message': 'I just found recipe! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:14', 'category': 'food', 'sentiment': 0.31, 'keyword_mentioned': 'recipe', 'message_length': 34}
2025-09-17 18:53:14 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found recipe! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:14', 'category': 'food', 'sentiment': 0.31, 'keyword_mentioned': 'recipe', 'message_length': 34}
2025-09-17 18:53:14 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:19 | INFO | {'message': 'I just loved an app! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 18:53:19', 'category': 'other', 'sentiment': 0.07, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-17 18:53:19 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved an app! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 18:53:19', 'category': 'other', 'sentiment': 0.07, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-17 18:53:19 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:24 | INFO | {'message': 'I just shared recipe! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-17 18:53:24', 'category': 'food', 'sentiment': 0.63, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-17 18:53:24 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared recipe! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-17 18:53:24', 'category': 'food', 'sentiment': 0.63, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-17 18:53:24 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:29 | INFO | {'message': 'I just saw a trick! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:29', 'category': 'other', 'sentiment': 0.58, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-17 18:53:29 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just saw a trick! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-17 18:53:29', 'category': 'other', 'sentiment': 0.58, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-17 18:53:29 | ERROR | Error processing message: name 'timestamps' is not defined
2025-09-17 18:53:34 | INFO | {'message': 'I just found a movie! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-17 18:53:34', 'category': 'entertainment', 'sentiment': 0.67, 'keyword_mentioned': 'movie', 'message_length': 36}
