2025-09-17 19:57:47 | INFO | Consumer interrupted by user.
2025-09-17 19:57:49 | INFO | Consumer closed.
2025-09-17 20:00:17 | INFO | Logging to file: logs/project_log.log
2025-09-17 20:00:17 | INFO | Log sanitization enabled, personal info removed
2025-09-17 20:00:17 | INFO | START producer...
2025-09-17 20:00:18 | INFO | Kafka producer connected to localhost:9092
2025-09-17 20:00:18 | INFO | {'message': 'I just shared game! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:18', 'category': 'gaming', 'sentiment': 0.66, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-17 20:00:18 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared game! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:18', 'category': 'gaming', 'sentiment': 0.66, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-17 20:00:23 | INFO | {'message': 'I just shared a trick! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:23', 'category': 'other', 'sentiment': 0.59, 'keyword_mentioned': 'other', 'message_length': 39}
2025-09-17 20:00:23 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared a trick! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:23', 'category': 'other', 'sentiment': 0.59, 'keyword_mentioned': 'other', 'message_length': 39}
2025-09-17 20:00:23 | INFO | Logging to file: logs/project_log.log
2025-09-17 20:00:23 | INFO | Log sanitization enabled, personal info removed
2025-09-17 20:00:23 | INFO | Project root: PROJECT_ROOT
2025-09-17 20:00:23 | INFO | Data folder: PROJECT_ROOT/data
2025-09-17 20:00:23 | INFO | Data file: PROJECT_ROOT/data/project_live.json
2025-09-17 20:00:24 | INFO | START consumer.
2025-09-17 20:00:28 | INFO | {'message': 'I just loved JavaScript! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:28', 'category': 'tech', 'sentiment': 0.13, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 20:00:28 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved JavaScript! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:28', 'category': 'tech', 'sentiment': 0.13, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 20:00:33 | INFO | {'message': 'I just found travel! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:33', 'category': 'travel', 'sentiment': 0.75, 'keyword_mentioned': 'travel', 'message_length': 34}
2025-09-17 20:00:33 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found travel! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:33', 'category': 'travel', 'sentiment': 0.75, 'keyword_mentioned': 'travel', 'message_length': 34}
2025-09-17 20:00:38 | INFO | {'message': 'I just saw JavaScript! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-17 20:00:38', 'category': 'tech', 'sentiment': 0.35, 'keyword_mentioned': 'JavaScript', 'message_length': 36}
2025-09-17 20:00:38 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just saw JavaScript! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-17 20:00:38', 'category': 'tech', 'sentiment': 0.35, 'keyword_mentioned': 'JavaScript', 'message_length': 36}
2025-09-17 20:00:43 | INFO | {'message': 'I just loved JavaScript! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-17 20:00:43', 'category': 'tech', 'sentiment': 0.56, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 20:00:43 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved JavaScript! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-17 20:00:43', 'category': 'tech', 'sentiment': 0.56, 'keyword_mentioned': 'JavaScript', 'message_length': 40}
2025-09-17 20:00:48 | INFO | {'message': 'I just loved travel! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:48', 'category': 'travel', 'sentiment': 0.27, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-17 20:00:48 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved travel! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-17 20:00:48', 'category': 'travel', 'sentiment': 0.27, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-17 20:00:53 | INFO | {'message': 'I just loved an app! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:53', 'category': 'other', 'sentiment': 0.18, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-17 20:00:53 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved an app! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:00:53', 'category': 'other', 'sentiment': 0.18, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-17 20:00:58 | INFO | {'message': 'I just shared game! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-17 20:00:58', 'category': 'gaming', 'sentiment': 0.14, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-17 20:00:58 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared game! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-17 20:00:58', 'category': 'gaming', 'sentiment': 0.14, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-17 20:01:03 | INFO | {'message': 'I just shared Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:01:03', 'category': 'tech', 'sentiment': 0.8, 'keyword_mentioned': 'Python', 'message_length': 35}
2025-09-17 20:01:03 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-17 20:01:03', 'category': 'tech', 'sentiment': 0.8, 'keyword_mentioned': 'Python', 'message_length': 35}
2025-09-17 20:01:08 | INFO | {'message': 'I just found a movie! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 20:01:08', 'category': 'entertainment', 'sentiment': 0.29, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-17 20:01:08 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found a movie! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-17 20:01:08', 'category': 'entertainment', 'sentiment': 0.29, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-17 20:01:13 | INFO | {'message': 'I just shared a story! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-17 20:01:13', 'category': 'other', 'sentiment': 0.76, 'keyword_mentioned': 'other', 'message_length': 39}
2025-09-17 20:01:13 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared a story! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-17 20:01:13', 'category': 'other', 'sentiment': 0.76, 'keyword_mentioned': 'other', 'message_length': 39}
2025-09-17 20:01:18 | INFO | {'message': 'I just saw a meme! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-17 20:01:18', 'category': 'humor', 'sentiment': 0.39, 'keyword_mentioned': 'meme', 'message_length': 32}
2025-09-17 20:01:18 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just saw a meme! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-17 20:01:18', 'category': 'humor', 'sentiment': 0.39, 'keyword_mentioned': 'meme', 'message_length': 32}
